Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
LeBron James\jamesle01,LAL,26:32,9,17,1,8,0,1,2,6,8,4,0,2,1,1,19,.529,.125,.000
James Harden\hardeja01,HOU,26:13,4,13,4,13,0,0,0,4,4,3,1,0,3,1,12,.308,.308,
Kevin Durant\duranke01,GSW,25:26,10,15,6,9,5,5,0,7,7,2,1,2,2,1,31,.667,.667,1.000
Kyrie Irving\irvinky01,BOS,24:45,6,12,1,4,0,0,4,5,9,6,1,1,1,3,13,.500,.250,
Kawhi Leonard\leonaka01,TOR,18:33,7,14,5,11,0,0,1,4,5,2,0,1,0,1,19,.500,.455,
Damian Lillard\lillada01,POR,24:41,6,17,6,17,0,0,3,3,6,5,2,0,1,0,18,.353,.353,
Klay Thompson\thompkl01,GSW,22:18,7,16,6,12,0,0,1,7,8,4,1,0,0,2,20,.438,.500,
Bradley Beal\bealbr01,WAS,17:42,4,11,3,10,0,0,1,0,1,3,1,0,0,0,11,.364,.300,
Ben Simmons\simmobe01,PHI,16:35,5,5,0,0,0,0,4,2,6,7,1,0,0,0,10,1.000,,
Karl-Anthony Towns\townska01,MIN,11:08,5,7,1,3,0,0,2,1,3,1,1,0,0,0,11,.714,.333,
LaMarcus Aldridge\aldrila01,SAS,10:47,1,2,0,0,0,0,0,4,4,1,0,0,0,0,2,.500,,
Dwyane Wade\wadedw01,MIA,10:27,2,4,1,2,2,2,0,2,2,4,0,0,1,0,7,.500,.500,1.000
Anthony Davis\davisan02,NOP,4:53,2,2,1,1,0,0,0,1,1,0,0,0,0,0,5,1.000,1.000,
Stephen Curry\curryst01,GSW,29:25,6,23,4,17,1,1,1,8,9,7,0,0,2,0,17,.261,.235,1.000
Giannis Antetokounmpo\antetgi01,MIL,27:09,17,23,2,6,2,2,4,7,11,5,1,0,3,2,38,.739,.333,1.000
Paul George\georgpa01,OKC,25:41,7,14,6,12,0,0,0,2,2,4,3,0,0,0,20,.500,.500,
Joel Embiid\embiijo01,PHI,23:11,4,12,0,3,2,4,6,6,12,1,1,1,1,2,10,.333,.000,.500
Kemba Walker\walkeke02,CHO,20:19,2,8,0,5,0,0,0,1,1,8,1,0,0,0,4,.250,.000,
Khris Middleton\middlkh01,MIL,21:37,7,13,6,10,0,0,4,1,5,4,0,0,1,0,20,.538,.600,
Blake Griffin\griffbl01,DET,19:41,4,8,2,4,0,0,3,3,6,3,0,0,0,0,10,.500,.500,
Russell Westbrook\westbru01,OKC,19:20,8,20,1,8,0,0,0,4,4,3,1,0,1,0,17,.400,.125,
Nikola Jokić\jokicni01,DEN,13:11,3,4,0,0,0,0,3,6,9,0,0,0,1,1,6,.750,,
Kyle Lowry\lowryky01,TOR,12:44,1,5,1,4,0,0,0,3,3,3,0,0,1,1,3,.200,.250,
D'Angelo Russell\russeda01,BRK,12:05,2,5,2,5,0,0,0,1,1,3,0,0,1,0,6,.400,.400,
Nikola Vučević\vucevni01,ORL,11:38,2,2,0,0,0,0,2,3,5,2,1,0,0,0,4,1.000,,
Dirk Nowitzki\nowitdi01,DAL,3:59,3,3,3,3,0,0,0,0,0,0,0,0,1,0,9,1.000,1.000,
