Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,18,14,25.7,3.4,8.8,.392,0.4,1.3,.292,3.1,7.4,.410,.415,0.9,1.6,.552,2.1,6.0,8.1,1.6,0.5,0.6,1.1,2.3,8.2
2,Steven Adams\adamsst01,C,28,MEM,20,20,24.3,2.5,5.0,.490,0.0,0.0,,2.5,5.0,.490,.490,1.7,2.4,.688,3.6,4.5,8.0,2.8,0.8,0.8,1.5,1.8,6.6
3,Bam Adebayo\adebaba01,C,24,MIA,17,17,32.8,6.8,13.2,.513,0.0,0.1,.000,6.8,13.1,.516,.513,4.9,6.4,.769,2.5,7.5,10.0,3.0,1.2,0.4,2.8,3.2,18.4
4,Santi Aldama\aldamsa01,PF,21,MEM,9,0,7.7,1.2,3.3,.367,0.3,1.7,.200,0.9,1.7,.533,.417,0.3,0.6,.600,0.7,1.2,1.9,0.9,0.0,0.2,0.0,0.8,3.1
5,LaMarcus Aldridge\aldrila01,C,36,BRK,19,2,22.1,5.9,10.2,.580,0.5,1.3,.375,5.4,8.9,.609,.604,1.6,2.0,.789,1.5,4.4,5.9,0.8,0.3,1.1,0.7,1.6,13.8
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,22,18,29.2,5.2,14.1,.370,2.1,6.9,.303,3.1,7.2,.434,.444,1.7,2.2,.792,1.2,3.2,4.4,2.6,1.0,0.5,1.5,1.8,14.3
7,Grayson Allen\allengr01,SG,26,MIL,21,21,28.8,4.7,10.4,.450,3.2,7.5,.424,1.5,2.9,.517,.603,1.3,1.5,.903,0.5,3.3,3.8,1.4,0.6,0.3,0.6,1.6,13.9
8,Jarrett Allen\allenja01,C,23,CLE,17,17,33.2,6.4,9.1,.697,0.1,0.2,.250,6.3,8.9,.709,.700,2.7,4.3,.630,3.5,7.7,11.2,1.8,1.0,0.9,2.0,1.8,15.5
9,Jose Alvarado\alvarjo01,PG,23,NOP,6,0,5.3,0.5,1.5,.333,0.2,0.7,.250,0.3,0.8,.400,.389,0.0,0.0,,0.2,0.5,0.7,1.3,0.3,0.0,0.0,0.5,1.2
10,Kyle Anderson\anderky01,PF,28,MEM,20,2,21.8,3.2,7.5,.430,0.9,2.5,.367,2.3,5.0,.460,.490,0.7,0.9,.765,1.1,4.2,5.3,2.5,0.9,0.4,1.0,1.5,8.0
