Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11,Giannis Antetokounmpo\antetgi01,PF,27,MIL,20,20,32.4,9.6,18.2,.526,1.2,4.2,.277,8.4,14.0,.600,.558,6.8,10.1,.672,1.8,10.0,11.8,5.9,1.1,1.8,3.1,2.9,27.0
12,Thanasis Antetokounmpo\antetth01,SF,29,MIL,17,5,13.5,1.5,3.2,.463,0.0,0.3,.000,1.5,2.9,.510,.463,0.6,1.0,.588,1.1,2.2,3.4,0.8,0.5,0.1,0.6,1.9,3.5
13,Carmelo Anthony\anthoca01,PF,37,LAL,22,3,29.1,4.9,11.3,.435,2.8,6.5,.427,2.1,4.8,.448,.558,1.8,2.2,.813,0.7,3.1,3.8,0.9,0.8,0.7,0.8,2.5,14.4
14,Cole Anthony\anthoco01,PG,21,ORL,16,16,34.1,6.7,16.1,.416,2.8,7.7,.366,3.9,8.4,.463,.504,3.4,4.0,.859,0.6,6.2,6.8,5.9,1.1,0.3,2.9,2.6,19.6
15,OG Anunoby\anunoog01,SF,24,TOR,15,15,37.3,7.6,17.7,.430,2.7,7.5,.366,4.9,10.2,.477,.508,2.2,2.7,.825,1.6,3.8,5.4,2.7,1.5,0.6,1.7,2.7,20.1
16,D.J. Augustin\augusdj01,PG,34,HOU,17,0,12.4,1.1,2.8,.383,0.8,2.1,.371,0.3,0.7,.417,.521,0.8,0.9,.933,0.1,0.6,0.8,1.9,0.2,0.0,1.2,0.6,3.7
17,Deni Avdija\avdijde01,SF,21,WAS,20,0,21.9,2.2,5.2,.427,0.8,2.4,.313,1.5,2.8,.527,.500,1.0,1.6,.645,0.8,4.3,5.1,1.3,0.6,0.8,0.7,2.0,6.2
18,Joel Ayayi\ayayijo01,SG,21,WAS,3,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0
19,Deandre Ayton\aytonde01,C,23,PHO,14,14,30.1,7.1,11.1,.641,0.1,0.4,.200,7.1,10.8,.656,.644,1.1,1.8,.600,3.0,8.5,11.5,1.2,0.9,0.6,1.7,2.8,15.4
20,Udoka Azubuike\azubuud01,C,22,UTA,4,0,2.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.0,0.5
21,Marvin Bagley III\baglema01,PF,22,SAC,8,0,17.5,2.3,4.8,.474,0.5,1.8,.286,1.8,3.0,.583,.526,0.9,1.5,.583,1.3,4.0,5.3,0.8,0.1,0.1,0.8,1.0,5.9
22,LaMelo Ball\ballla01,PG,20,CHO,22,22,33.0,7.1,17.2,.414,2.7,7.1,.378,4.5,10.1,.439,.492,2.5,2.7,.900,1.5,6.3,7.9,8.0,1.9,0.4,3.1,3.1,19.4
23,Lonzo Ball\balllo01,PG,24,CHI,21,21,34.9,4.5,10.9,.415,3.0,7.0,.432,1.5,4.0,.386,.552,0.3,0.4,.750,0.8,4.6,5.4,4.7,1.9,0.7,2.3,2.5,12.3
24,Mo Bamba\bambamo01,C,23,ORL,20,20,29.7,4.3,9.5,.450,1.4,4.2,.337,2.9,5.3,.538,.524,0.9,1.2,.708,2.5,6.6,9.1,1.8,0.9,2.0,1.5,2.8,10.8
25,Desmond Bane\banede01,SF,23,MEM,20,20,28.8,6.0,12.8,.471,2.5,6.5,.385,3.5,6.3,.560,.569,1.1,1.2,.917,0.5,3.4,3.9,2.0,0.8,0.4,1.4,2.6,15.6
26,Dalano Banton\bantoda01,SF,22,TOR,21,0,12.9,1.8,3.6,.507,0.2,0.7,.333,1.6,2.9,.550,.540,0.9,1.1,.750,0.5,1.7,2.1,1.4,0.4,0.2,1.1,1.5,4.7
27,Harrison Barnes\barneha02,PF,29,SAC,19,19,35.0,5.8,12.1,.478,1.9,4.9,.398,3.8,7.2,.533,.559,5.5,6.5,.846,1.4,5.8,7.2,2.4,1.0,0.2,2.1,1.4,19.0
28,Scottie Barnes\barnesc01,PF,20,TOR,19,19,35.3,6.2,12.7,.485,0.5,1.5,.321,5.7,11.2,.507,.504,2.4,3.3,.730,3.1,5.2,8.3,3.3,1.1,0.6,2.1,2.6,15.2
29,RJ Barrett\barrerj01,SF,21,NYK,20,20,32.4,5.3,13.5,.394,1.7,5.3,.321,3.6,8.2,.442,.457,2.3,3.3,.692,0.6,5.5,6.0,2.2,0.5,0.3,1.8,2.2,14.6
30,Will Barton\bartowi01,SG,31,DEN,17,17,33.6,6.4,14.2,.452,2.4,6.4,.376,4.0,7.8,.515,.537,1.1,1.6,.667,0.6,4.7,5.4,4.3,1.1,0.5,1.7,1.2,16.3
31,Charles Bassey\bassech01,PF,21,PHI,10,0,8.1,1.2,1.8,.667,0.0,0.3,.000,1.2,1.5,.800,.667,0.5,0.7,.714,1.0,1.9,2.9,0.2,0.1,0.7,0.3,1.1,2.9
32,Keita Bates-Diop\bateske01,SF,26,SAS,14,3,13.8,1.4,3.0,.452,0.1,0.7,.100,1.3,2.3,.563,.464,0.3,0.3,1.000,0.7,2.5,3.2,0.2,0.4,0.4,0.6,0.5,3.1
33,Nicolas Batum\batumni01,PF,33,LAC,14,13,27.6,3.6,6.9,.521,2.3,5.2,.438,1.3,1.6,.783,.688,0.4,0.7,.500,0.5,5.0,5.5,1.5,1.1,0.8,0.8,1.2,9.8
34,Kent Bazemore\bazemke01,SF,32,LAL,16,13,21.5,1.6,4.9,.329,0.8,2.6,.286,0.9,2.3,.378,.405,0.6,0.8,.769,0.3,1.9,2.1,0.9,1.0,0.3,0.5,2.6,4.6
35,Darius Bazley\bazleda01,PF,21,OKC,19,19,28.5,3.5,9.8,.358,1.1,3.9,.280,2.4,5.9,.411,.414,1.1,1.9,.583,1.0,5.8,6.8,1.5,0.6,1.2,1.4,0.8,9.3
36,Bradley Beal\bealbr01,SG,28,WAS,17,17,35.9,8.8,20.1,.440,1.8,6.4,.275,7.1,13.6,.517,.484,3.8,4.1,.929,0.8,4.4,5.2,5.9,1.1,0.4,3.9,2.4,23.2
37,Malik Beasley\beaslma01,SG,25,MIN,20,0,25.4,3.7,10.5,.348,2.6,7.8,.329,1.1,2.8,.400,.469,0.6,0.8,.688,0.4,2.3,2.7,1.5,0.7,0.2,0.6,1.0,10.4
38,DeAndre' Bembry\bembrde01,SF,27,BRK,19,4,19.4,2.5,4.4,.560,0.4,0.9,.412,2.1,3.5,.597,.601,0.5,0.9,.529,0.7,2.4,3.1,1.1,1.0,0.4,0.7,2.3,5.8
39,Dāvis Bertāns\bertada01,PF,29,WAS,10,0,16.7,1.4,5.6,.250,1.1,4.6,.239,0.3,1.0,.300,.348,1.2,1.2,1.000,0.3,1.6,1.9,0.6,0.2,0.0,0.4,1.6,5.1
40,Patrick Beverley\beverpa01,PG,33,MIN,16,12,25.4,3.1,6.7,.458,1.2,3.5,.339,1.9,3.2,.588,.547,0.8,1.1,.706,1.4,2.9,4.4,4.5,0.9,1.0,1.2,3.1,8.1
41,Saddiq Bey\beysa01,SF,22,DET,20,20,32.5,4.9,13.4,.363,1.9,6.3,.294,3.0,7.1,.426,.433,1.5,2.1,.732,2.2,4.3,6.5,2.5,1.1,0.2,1.4,1.8,13.1
42,Khem Birch\birchkh01,C,29,TOR,15,3,22.9,2.7,5.3,.500,0.0,0.4,.000,2.7,4.9,.541,.500,1.6,2.2,.727,3.2,2.5,5.7,1.3,1.0,0.5,0.6,1.8,6.9
43,Goga Bitadze\bitadgo01,C,22,IND,15,0,8.8,0.9,3.2,.292,0.3,1.6,.167,0.7,1.6,.417,.333,0.7,1.0,.667,1.1,1.3,2.3,0.2,0.6,0.6,0.3,1.7,2.8
44,Nemanja Bjelica\bjeline01,C,33,GSW,20,0,14.3,2.3,4.9,.459,0.9,2.4,.375,1.4,2.5,.540,.551,0.9,1.1,.810,0.9,3.0,3.9,1.6,0.8,0.3,1.2,1.2,6.3
45,Eric Bledsoe\bledser01,PG,32,LAC,20,20,28.4,3.7,9.0,.408,0.9,3.3,.273,2.8,5.7,.487,.458,1.7,2.0,.850,0.8,3.6,4.4,3.5,1.4,0.6,2.2,1.8,9.9
46,Bogdan Bogdanović\bogdabo01,SG,29,ATL,20,20,28.2,4.5,10.0,.447,2.2,5.5,.391,2.3,4.5,.517,.555,0.6,0.7,.786,0.4,3.2,3.6,2.5,0.7,0.2,0.9,1.9,11.6
47,Bojan Bogdanović\bogdabo02,PF,32,UTA,20,20,30.0,5.7,12.3,.459,2.4,6.1,.397,3.3,6.3,.520,.557,3.4,3.7,.932,0.8,3.3,4.1,1.9,0.5,0.1,1.7,1.3,17.1
48,Bol Bol\bolbo01,PF,22,DEN,9,0,5.1,0.8,1.7,.467,0.0,0.3,.000,0.8,1.3,.583,.467,0.1,0.3,.333,0.2,1.3,1.6,0.2,0.1,0.2,0.0,0.3,1.7
49,Leandro Bolmaro\bolmale01,SF,21,MIN,9,0,5.2,0.6,1.4,.385,0.1,0.6,.200,0.4,0.9,.500,.423,0.4,0.6,.800,0.6,1.0,1.6,0.4,0.0,0.0,0.7,0.4,1.7
50,Isaac Bonga\bongais01,SF,22,TOR,5,0,3.8,0.2,0.8,.250,0.0,0.4,.000,0.2,0.4,.500,.250,0.0,0.0,,0.2,0.2,0.4,0.4,0.2,0.2,0.0,0.6,0.4
51,Devin Booker\bookede01,SG,25,PHO,20,20,33.1,8.8,19.2,.458,2.5,6.1,.410,6.3,13.1,.481,.523,3.8,4.5,.854,0.9,4.2,5.1,4.7,1.0,0.3,2.8,2.4,23.9
52,Brandon Boston Jr.\bostobr01,SG,20,LAC,7,0,7.9,1.0,3.0,.333,0.3,0.9,.333,0.7,2.1,.333,.381,0.6,0.7,.800,0.0,1.0,1.0,0.4,0.6,0.1,0.3,0.3,2.9
53,Chris Boucher\bouchch01,PF,29,TOR,19,0,13.9,2.3,5.9,.381,0.5,2.6,.200,1.7,3.3,.524,.425,0.8,1.3,.667,1.4,2.7,4.1,0.3,0.6,0.7,0.6,1.3,5.9
54,James Bouknight\bouknja01,SG,21,CHO,7,0,1.7,0.0,0.9,.000,0.0,0.1,.000,0.0,0.7,.000,.000,0.3,0.3,1.000,0.1,0.1,0.3,0.3,0.0,0.0,0.0,0.1,0.3
55,Avery Bradley\bradlav01,SG,31,LAL,21,16,22.2,1.9,5.0,.381,1.0,3.0,.349,0.9,2.0,.429,.486,0.1,0.1,1.000,0.5,2.0,2.5,0.9,0.6,0.2,0.6,1.4,5.0
56,Tony Bradley\bradlto01,C,24,CHI,17,7,13.1,1.7,3.1,.558,0.0,0.0,,1.7,3.1,.558,.558,0.2,0.3,.800,1.5,2.7,4.2,0.4,0.1,0.6,0.7,1.5,3.6
57,Ignas Brazdeikis\brazdig01,SF,23,ORL,10,0,8.6,0.7,2.7,.259,0.3,1.6,.188,0.4,1.1,.364,.315,0.1,0.2,.500,0.5,1.2,1.7,0.5,0.2,0.0,0.3,1.0,1.8
58,Mikal Bridges\bridgmi01,SF,25,PHO,20,20,34.2,5.3,9.7,.544,1.4,3.5,.391,3.9,6.2,.629,.614,1.1,1.3,.840,0.8,3.2,4.0,1.9,1.4,0.6,0.7,2.3,12.9
59,Miles Bridges\bridgmi02,PF,23,CHO,22,22,36.2,7.5,16.5,.453,2.2,6.8,.329,5.2,9.7,.540,.521,3.1,4.1,.767,1.5,5.9,7.4,3.3,1.3,0.9,1.8,2.8,20.3
60,Oshae Brissett\brissos01,SF,23,IND,12,0,11.1,1.4,3.4,.415,0.5,1.7,.300,0.9,1.8,.524,.488,0.2,0.6,.286,0.4,1.7,2.1,0.5,0.2,0.2,0.8,0.8,3.5
61,Malcolm Brogdon\brogdma01,PG,29,IND,17,17,35.0,7.3,15.9,.458,2.1,6.2,.333,5.2,9.8,.536,.522,3.8,4.2,.889,1.0,4.8,5.8,5.9,0.6,0.6,2.5,2.1,20.4
62,Armoni Brooks\brookar01,SG,23,HOU,15,0,10.1,1.6,4.3,.369,1.3,3.7,.364,0.3,0.7,.400,.523,0.5,0.5,.875,0.2,0.9,1.1,0.4,0.5,0.1,0.2,1.0,5.0
63,Dillon Brooks\brookdi01,SF,26,MEM,7,6,24.6,6.7,15.9,.423,1.7,5.3,.324,5.0,10.6,.473,.477,3.4,3.9,.889,0.9,2.7,3.6,2.3,1.0,0.1,1.6,3.3,18.6
64,Bruce Brown\brownbr01,SF,25,BRK,17,14,24.3,3.2,6.6,.478,0.4,1.3,.318,2.8,5.4,.516,.509,0.5,0.7,.750,0.9,3.0,3.9,1.1,1.4,0.5,0.8,2.2,7.3
65,Greg Brown III\browngr01,SF,20,POR,7,0,4.9,1.0,2.6,.389,0.0,0.6,.000,1.0,2.0,.500,.389,0.3,0.7,.400,0.6,1.1,1.7,0.6,0.3,0.4,0.3,0.7,2.3
66,Jaylen Brown\brownja02,SF,25,BOS,12,12,32.8,8.2,17.3,.473,2.5,6.8,.370,5.7,10.5,.540,.546,3.6,4.6,.782,0.5,4.8,5.3,2.2,1.2,0.5,2.5,2.8,22.4
67,Moses Brown\brownmo01,C,22,DAL,6,0,3.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.3,1.0,.333,0.2,0.7,0.8,0.0,0.0,0.3,0.0,0.3,1.0
68,Sterling Brown\brownst02,SG,26,DAL,16,0,11.9,0.9,3.0,.313,0.6,2.1,.273,0.4,0.9,.400,.406,0.3,0.3,1.000,0.6,2.4,3.1,0.7,0.4,0.1,0.6,1.2,2.7
69,Troy Brown Jr.\browntr01,SF,22,CHI,13,0,9.5,1.4,3.2,.429,0.5,1.5,.350,0.8,1.7,.500,.512,0.2,0.3,.500,0.2,1.4,1.6,0.5,0.2,0.0,0.2,0.8,3.5
70,Jalen Brunson\brunsja01,PG,25,DAL,17,5,29.2,5.9,11.9,.493,1.1,3.3,.339,4.8,8.6,.551,.539,2.2,2.7,.804,0.5,3.9,4.4,5.3,0.9,0.1,1.6,1.8,15.1
71,Reggie Bullock\bullore01,SF,30,DAL,17,2,22.9,2.2,6.2,.358,1.2,4.4,.284,1.0,1.9,.531,.458,0.2,0.4,.667,0.2,2.6,2.9,0.7,0.3,0.1,0.5,1.5,5.9
72,Trey Burke\burketr01,PG,29,DAL,9,0,10.6,2.2,4.8,.465,0.8,1.8,.438,1.4,3.0,.481,.547,1.1,1.2,.909,0.0,0.8,0.8,1.2,0.4,0.0,0.9,0.7,6.3
73,Alec Burks\burksal01,SG,30,NYK,20,1,22.3,3.3,7.8,.426,2.1,4.6,.451,1.3,3.2,.391,.558,1.8,2.3,.800,0.3,3.5,3.8,1.8,1.1,0.3,0.8,2.1,10.5
74,Jared Butler\butleja02,SG,21,UTA,13,0,4.8,0.6,2.2,.286,0.3,1.2,.250,0.3,0.9,.333,.357,0.2,0.3,.500,0.0,0.5,0.5,0.5,0.2,0.5,0.5,1.0,1.7
75,Jimmy Butler\butleji01,SF,32,MIA,17,17,34.2,7.9,15.3,.519,0.4,1.8,.200,7.6,13.5,.561,.531,7.4,8.6,.850,1.6,4.2,5.8,5.3,2.1,0.3,1.9,1.7,23.6
76,Kentavious Caldwell-Pope\caldwke01,SG,28,WAS,20,20,29.7,3.7,8.8,.420,2.0,5.4,.374,1.7,3.5,.493,.534,1.4,1.6,.871,0.6,3.3,3.8,1.5,1.4,0.4,1.2,1.6,10.8
77,Facundo Campazzo\campafa01,PG,30,DEN,18,0,17.5,1.8,4.3,.410,1.1,2.9,.358,0.7,1.4,.520,.532,0.8,1.0,.833,0.3,1.4,1.8,2.1,0.9,0.2,1.1,1.8,5.4
78,Vlatko Čančar\cancavl01,PF,24,DEN,2,0,9.0,1.5,2.0,.750,1.0,1.0,1.000,0.5,1.0,.500,1.000,1.5,2.0,.750,0.5,0.0,0.5,2.0,0.5,0.0,0.5,0.5,5.5
79,Clint Capela\capelca01,C,27,ATL,21,21,29.6,5.4,9.1,.594,0.0,0.0,.000,5.4,9.1,.597,.594,1.2,2.4,.520,3.9,8.8,12.7,1.2,1.0,1.4,0.6,2.5,12.1
80,Vernon Carey Jr.\careyve01,C,20,CHO,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Jevon Carter\carteje01,PG,26,BRK,20,1,14.1,1.1,3.7,.288,0.9,2.9,.316,0.2,0.8,.188,.411,0.2,0.2,.750,0.2,1.5,1.7,1.2,0.4,0.3,0.4,1.4,3.2
82,Wendell Carter Jr.\cartewe01,C,22,ORL,21,21,28.2,5.1,10.0,.517,1.5,3.9,.390,3.6,6.0,.598,.593,1.5,2.2,.674,2.1,7.4,9.5,2.3,0.7,0.7,1.4,2.5,13.3
83,Alex Caruso\carusal01,PG,27,CHI,20,5,29.7,2.8,6.5,.434,1.0,3.0,.339,1.8,3.5,.514,.512,1.9,2.1,.902,0.9,3.0,3.8,4.1,2.3,0.4,1.4,2.8,8.5
84,Willie Cauley-Stein\caulewi01,C,28,DAL,18,2,9.8,0.9,1.9,.457,0.1,0.1,.500,0.8,1.8,.455,.471,0.1,0.1,.500,0.7,1.4,2.1,0.5,0.3,0.2,0.4,0.9,1.9
85,Justin Champagnie\champju01,SF,20,TOR,9,0,4.0,0.2,0.9,.250,0.0,0.1,.000,0.2,0.8,.286,.250,0.4,0.4,1.000,0.7,0.4,1.1,0.1,0.0,0.1,0.0,0.7,0.9
86,Chris Chiozza\chiozch01,PG,26,GSW,9,0,10.8,1.0,3.1,.321,0.8,2.2,.350,0.2,0.9,.250,.446,0.1,0.1,1.000,0.3,0.8,1.1,1.2,0.6,0.0,0.8,1.4,2.9
87,Josh Christopher\chrisjo01,SG,20,HOU,11,0,7.6,1.2,3.1,.382,0.3,0.7,.375,0.9,2.4,.385,.426,0.4,0.5,.667,0.2,0.7,0.9,1.0,0.5,0.0,0.6,0.5,3.0
88,Brandon Clarke\clarkbr01,PF,25,MEM,17,0,16.1,3.3,5.4,.615,0.0,0.5,.000,3.3,4.9,.675,.615,1.1,1.6,.667,1.8,2.7,4.5,1.4,0.4,0.8,0.4,1.8,7.6
89,Jordan Clarkson\clarkjo01,SG,29,UTA,20,0,24.8,5.4,14.3,.375,2.5,8.9,.282,2.9,5.4,.528,.463,1.8,2.2,.837,0.7,2.4,3.1,2.1,0.7,0.3,1.4,1.5,15.0
90,Nicolas Claxton\claxtni01,C,22,BRK,4,3,19.0,2.8,5.0,.550,0.0,0.0,,2.8,5.0,.550,.550,1.0,2.3,.444,0.8,4.8,5.5,0.8,0.0,1.0,0.8,1.3,6.5
91,Amir Coffey\coffeam01,SG,24,LAC,15,2,12.2,0.7,2.4,.306,0.5,1.8,.296,0.2,0.6,.333,.417,1.1,1.1,.941,0.2,1.3,1.5,0.7,0.1,0.1,0.3,0.9,3.1
92,John Collins\collijo01,PF,24,ATL,21,21,32.1,6.5,11.4,.569,1.0,2.7,.368,5.5,8.7,.632,.613,2.6,3.3,.786,1.7,6.2,8.0,2.2,0.8,1.3,1.0,2.8,16.6
93,Mike Conley\conlemi01,PG,34,UTA,18,18,28.3,5.2,10.2,.505,2.6,5.9,.443,2.6,4.3,.590,.633,1.3,1.6,.857,0.2,1.7,1.9,5.3,1.2,0.3,1.7,2.0,14.3
94,Pat Connaughton\connapa01,SG,29,MIL,21,8,28.9,4.4,8.9,.497,2.6,6.3,.414,1.8,2.6,.704,.644,0.7,1.0,.700,0.9,4.2,5.1,1.5,1.0,0.4,1.0,1.5,12.1
95,Tyler Cook\cookty01,PF,24,CHI,1,0,12.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,2.0,2.0,1.000,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0
96,Sharife Cooper\coopesh01,PG,20,ATL,5,0,2.2,0.2,0.8,.250,0.0,0.4,.000,0.2,0.4,.500,.250,0.0,0.0,,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.4
97,Petr Cornelie\cornepe01,PF,26,DEN,5,0,4.2,0.4,1.4,.286,0.0,0.8,.000,0.4,0.6,.667,.286,0.0,0.0,,1.0,0.6,1.6,0.6,0.0,0.0,0.4,0.6,0.8
98,Robert Covington\covinro01,PF,31,POR,20,20,26.9,2.5,5.8,.422,1.8,4.6,.380,0.7,1.2,.583,.573,0.2,0.2,1.000,0.4,4.2,4.6,1.3,1.1,1.1,0.9,2.0,6.8
99,Torrey Craig\craigto01,SF,31,IND,22,0,17.2,2.4,4.6,.510,0.6,2.1,.298,1.7,2.5,.691,.578,0.8,1.0,.773,1.4,2.4,3.7,1.0,0.5,0.3,0.6,1.8,6.1
100,Jae Crowder\crowdja01,PF,31,PHO,20,20,27.9,3.0,7.9,.376,1.8,5.4,.327,1.2,2.5,.480,.487,1.0,1.2,.833,0.5,4.2,4.7,1.5,1.3,0.5,0.8,2.3,8.7
101,Jarrett Culver\culveja01,SG,22,MEM,6,0,8.2,1.3,2.8,.471,0.3,1.2,.286,1.0,1.7,.600,.529,0.7,1.0,.667,0.2,1.0,1.2,0.8,0.2,0.0,0.3,0.0,3.7
102,Cade Cunningham\cunnica01,PG,20,DET,15,15,31.3,4.7,14.1,.335,1.8,7.3,.245,2.9,6.8,.431,.399,1.7,2.0,.867,1.1,5.5,6.5,4.8,1.3,0.5,3.5,2.4,13.0
103,Seth Curry\curryse01,SG,31,PHI,18,18,33.9,5.6,11.3,.495,2.2,5.4,.408,3.4,5.9,.575,.593,2.3,2.6,.913,0.5,2.6,3.1,2.4,0.8,0.1,1.7,2.3,15.8
104,Stephen Curry\curryst01,PG,33,GSW,19,19,34.2,9.4,20.2,.466,5.5,13.1,.423,3.9,7.2,.544,.603,4.3,4.5,.942,0.5,5.3,5.8,6.8,1.8,0.5,3.3,1.9,28.6
105,Anthony Davis\davisan02,C,28,LAL,21,21,35.8,9.6,18.5,.517,0.4,2.1,.205,9.1,16.4,.557,.528,4.7,6.4,.731,3.0,7.2,10.1,3.0,1.3,2.3,2.0,2.3,24.2
106,Ed Davis\davised01,C,32,CLE,6,2,11.2,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.2,0.3,.500,0.7,3.7,4.3,0.2,0.3,0.5,0.3,1.2,2.2
107,Terence Davis\daviste02,SG,24,SAC,13,2,14.3,2.2,6.8,.318,0.9,4.1,.226,1.2,2.7,.457,.386,0.5,0.8,.700,0.2,1.7,1.9,0.7,0.5,0.2,0.8,1.9,5.8
108,Gabriel Deck\deckga01,PF,26,OKC,5,0,4.6,0.8,1.4,.571,0.2,0.4,.500,0.6,1.0,.600,.643,0.0,0.0,,0.2,0.4,0.6,0.2,0.2,0.0,0.2,0.0,1.8
109,Dewayne Dedmon\dedmode01,C,32,MIA,20,3,14.1,1.9,3.2,.578,0.2,0.2,.750,1.7,3.0,.567,.602,1.3,1.6,.813,1.5,3.4,4.9,0.5,0.4,0.3,0.9,2.1,5.2
110,Sam Dekker\dekkesa01,PF,27,TOR,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,DeMar DeRozan\derozde01,SF,32,CHI,21,21,35.0,9.0,18.7,.483,0.9,2.7,.339,8.1,16.0,.507,.508,6.8,7.6,.899,0.7,4.5,5.2,4.1,1.0,0.4,2.1,2.1,25.8
112,Hamidou Diallo\diallha01,SG,23,DET,14,1,14.4,2.7,5.1,.528,0.2,1.0,.214,2.5,4.1,.603,.549,0.9,1.0,.929,1.1,1.9,2.9,0.6,0.6,0.5,0.7,1.6,6.6
113,Gorgui Dieng\dienggo01,C,32,ATL,19,0,8.4,0.8,2.1,.375,0.2,0.9,.235,0.6,1.2,.478,.425,0.5,0.7,.643,1.0,2.5,3.5,0.7,0.3,0.3,0.6,1.2,2.3
114,Spencer Dinwiddie\dinwisp01,PG,28,WAS,17,17,29.6,5.0,12.4,.405,2.1,5.7,.361,2.9,6.6,.442,.488,2.6,2.8,.917,0.6,4.4,5.1,5.4,0.3,0.2,1.7,2.0,14.6
115,Luka Dončić\doncilu01,PG,22,DAL,15,15,35.3,9.5,21.7,.440,2.6,8.3,.315,6.9,13.4,.517,.500,3.9,5.7,.682,0.7,7.4,8.1,8.1,1.2,0.7,4.3,2.4,25.5
116,Luguentz Dort\dortlu01,SF,22,OKC,18,18,33.0,6.0,13.9,.432,2.3,7.3,.321,3.7,6.6,.555,.516,3.0,3.5,.857,0.8,3.6,4.4,1.9,0.8,0.2,1.7,2.9,17.3
117,Ayo Dosunmu\dosunay01,SG,22,CHI,20,0,16.3,2.4,5.1,.465,0.8,1.9,.432,1.6,3.2,.484,.545,0.4,0.6,.636,0.5,1.6,2.1,0.9,0.4,0.2,0.8,1.3,5.9
118,Devon Dotson\dotsode01,PG,22,CHI,2,0,6.5,0.5,1.5,.333,0.0,1.0,.000,0.5,0.5,1.000,.333,0.0,0.0,,0.0,2.5,2.5,1.5,0.0,0.0,0.5,1.0,1.0
