Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
32,Kent Bazemore\bazemke01,SG,30,SAC,4,0,18.5,2.0,5.8,.348,0.8,2.3,.333,1.3,3.5,.357,.413,2.5,3.5,.714,1.0,2.5,3.5,0.3,1.0,0.3,1.3,3.0,7.3
33,Darius Bazley\bazleda01,PF,19,OKC,49,8,17.6,1.7,4.4,.387,0.6,2.0,.302,1.1,2.5,.455,.454,0.6,0.9,.667,0.4,3.4,3.8,0.6,0.3,0.7,0.8,0.9,4.6
34,Bradley Beal\bealbr01,SG,26,WAS,39,39,35.5,9.8,21.6,.453,2.5,7.8,.318,7.3,13.8,.530,.511,6.5,7.7,.846,1.0,3.4,4.4,6.3,1.0,0.3,3.3,2.3,28.6
35,Malik Beasley\beaslma01,SG,23,DEN,37,0,17.5,2.7,6.9,.389,1.3,3.6,.356,1.4,3.4,.424,.481,0.8,0.8,.935,0.2,1.5,1.8,1.0,0.8,0.2,0.9,1.2,7.5
36,Marco Belinelli\belinma01,SG,33,SAS,42,0,15.3,2.0,5.4,.376,1.0,2.9,.355,1.0,2.5,.400,.471,0.7,0.9,.795,0.1,1.6,1.7,1.3,0.2,0.0,0.3,0.9,5.8
37,Jordan Bell\belljo01,C,25,MIN,25,0,8.8,1.2,2.3,.526,0.1,0.3,.250,1.1,2.0,.571,.544,0.7,1.2,.586,1.1,1.9,3.0,0.6,0.1,0.4,0.7,0.6,3.2
38,DeAndre' Bembry\bembrde01,SG,25,ATL,43,4,21.3,2.4,5.3,.456,0.3,1.5,.231,2.1,3.8,.546,.489,0.6,1.1,.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8
39,Dragan Bender\bendedr01,SF,22,MIL,7,0,13.0,1.4,3.0,.476,0.6,1.3,.444,0.9,1.7,.500,.571,0.3,0.4,.667,0.0,2.9,2.9,1.3,0.0,0.7,0.7,2.3,3.7
40,Dāvis Bertāns\bertada01,PF,27,WAS,37,4,29.3,4.9,11.3,.437,3.6,8.5,.427,1.3,2.8,.466,.598,1.7,1.9,.873,0.8,3.8,4.6,1.7,0.7,0.7,0.9,2.5,15.2
41,Patrick Beverley\beverpa01,PG,31,LAC,36,36,28.3,3.1,7.2,.423,1.5,4.3,.351,1.6,2.9,.528,.527,0.7,1.1,.632,1.3,4.7,6.0,4.0,1.3,0.6,1.3,3.2,8.3
