Starters,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Anthony Davis\davisan02,NOP,31:50,26,39,0,4,0,0,4,6,10,0,2,0,1,1,52,.667,.000,
James Harden\hardeja01,HOU,30:23,4,9,4,9,0,0,0,7,7,12,0,0,10,2,12,.444,.444,
Stephen Curry\curryst01,GSW,28:18,8,16,5,11,0,0,1,3,4,6,1,0,0,3,21,.500,.455,
Kevin Durant\duranke01,GSW,27:09,9,16,2,8,1,2,4,6,10,10,2,0,0,1,21,.563,.250,.500
Kawhi Leonard\leonaka01,SAS,14:47,2,4,0,2,0,0,0,2,2,2,1,0,0,0,4,.500,.000,
Marc Gasol\gasolma01,MEM,21:29,5,7,0,2,0,0,3,7,10,8,1,1,2,0,10,.714,.000,
Russell Westbrook\westbru01,OKC,19:42,16,26,7,13,2,2,2,3,5,7,1,0,2,1,41,.615,.538,1.000
Klay Thompson\thompkl01,GSW,17:37,5,9,2,6,0,0,0,2,2,5,0,0,0,1,12,.556,.333,
Gordon Hayward\haywago01,UTA,17:17,4,7,0,3,0,0,1,0,1,2,4,0,0,0,8,.571,.000,
Draymond Green\greendr01,GSW,16:31,1,2,0,0,0,0,0,7,7,6,3,0,2,1,2,.500,,
DeAndre Jordan\jordade01,LAC,12:30,3,5,0,2,0,0,0,3,3,2,0,0,0,1,6,.600,.000,
DeMarcus Cousins\couside01,SAC,2:27,1,3,1,3,0,0,0,0,0,0,1,0,0,0,3,.333,.333,
DeMar DeRozan\derozde01,TOR,24:02,8,15,0,0,0,0,1,4,5,6,2,0,4,0,16,.533,,
Giannis Antetokounmpo\antetgi01,MIL,22:53,14,17,0,1,2,2,3,3,6,1,3,1,0,0,30,.824,.000,1.000
Kyrie Irving\irvinky01,CLE,21:52,8,12,6,8,0,0,2,5,7,14,3,0,2,1,22,.667,.750,
LeBron James\jamesle01,CLE,19:29,10,17,3,8,0,0,0,3,3,1,0,0,4,2,23,.588,.375,
Jimmy Butler\butleji01,CHI,19:29,3,4,0,1,0,0,0,3,3,2,1,0,1,0,6,.750,.000,
Paul George\georgpa01,IND,22:05,6,16,0,7,0,0,0,5,5,3,0,0,0,0,12,.375,.000,
John Wall\walljo01,WAS,20:58,6,12,0,2,0,0,1,5,6,4,4,0,3,1,12,.500,.000,
Kemba Walker\walkeke02,CHO,20:15,3,6,1,4,0,0,1,2,3,6,1,0,0,0,7,.500,.250,
Carmelo Anthony\anthoca01,NYK,19:00,4,8,2,6,0,0,0,3,3,0,0,0,0,0,10,.500,.333,
Isaiah Thomas\thomais02,BOS,18:48,7,15,4,10,2,2,1,0,1,3,0,0,2,0,20,.467,.400,1.000
Kyle Lowry\lowryky01,TOR,17:43,7,11,5,9,0,0,1,2,3,0,2,0,3,1,19,.636,.556,
Paul Millsap\millspa01,ATL,13:26,2,4,1,3,0,0,0,5,5,3,1,0,0,0,5,.500,.333,
